attr_id,indicator_hint,initial_category,attr_text,source_literature,source_internal_doc,source_user_voice,freq_literature
A1,Accuracy,content,Jawaban AI faktual dan sesuai sumber terpercaya,1,1,1,8
A2,Accuracy,content,Jawaban AI jarang mengandung informasi salah atau menyesatkan,1,0,0,8
A3,Accuracy,content,AI konsisten ketika ditanya ulang tentang topik yang sama,1,0,0,6
A4,Accuracy,content,AI mampu mengutip referensi atau sumber jika diperlukan,1,1,1,8
A5,Accuracy,governance,AI menghindari jawaban spekulatif pada topik sensitif terkait perusahaan,0,1,1,0
R1,Relevance,content,Jawaban AI relevan dengan pertanyaan yang diajukan,0,0,1,0
R2,Relevance,context,AI memahami konteks bisnis Astra International,0,1,1,0
R3,Relevance,context,AI menyesuaikan jawaban dengan konteks Knowledge Management Astra,1,0,0,6
R4,Relevance,context,AI mampu mengaitkan jawaban dengan proses kerja di unit terkait,1,1,1,8
R5,Relevance,context,AI tidak keluar topik ketika diberi pertanyaan yang spesifik,1,0,0,4
C1,Clarity,style,Bahasa yang digunakan AI jelas dan mudah dipahami,0,1,1,2
C2,Clarity,style,Struktur jawaban AI rapi dan terorganisir,1,0,1,7
C3,Clarity,style,Istilah teknis dijelaskan dengan cara yang sederhana,1,1,1,5
C4,Clarity,style,AI menggunakan contoh yang membantu pemahaman,0,1,0,0
C5,Clarity,style,AI meminimalkan ambiguitas dalam penjelasan,0,0,1,0
CC1,Conciseness_Coherence,style,Jawaban AI tidak bertele-tele,0,1,1,2
CC2,Conciseness_Coherence,style,Paragraf dalam jawaban AI saling terhubung dengan logis,1,1,1,7
CC3,Conciseness_Coherence,style,AI mampu merangkum poin penting dengan singkat,1,1,1,2
CC4,Conciseness_Coherence,style,AI membatasi informasi yang tidak relevan,1,1,1,6
CC5,Conciseness_Coherence,style,AI menjaga alur penjelasan tetap runtut dari awal sampai akhir,1,1,1,7
CP1,Completeness,coverage,AI menjawab seluruh poin penting dalam pertanyaan,1,1,0,5
CP2,Completeness,coverage,AI memberikan langkah atau rekomendasi yang bisa dipraktikkan,0,0,1,0
CP3,Completeness,coverage,AI menambahkan konteks tambahan yang relevan jika diperlukan,1,0,1,5
CP4,Completeness,coverage,AI memberikan alternatif solusi ketika memungkinkan,1,0,1,5
CP5,Completeness,coverage,AI menyertakan risiko atau catatan penting terkait rekomendasi,1,0,1,5
T1,Tone_Appropriateness,tone,Nada jawaban AI profesional dan sopan,1,1,1,7
T2,Tone_Appropriateness,tone,AI menghargai nilai dan budaya perusahaan Astra,0,0,1,2
T3,Tone_Appropriateness,tone,AI menghindari konten yang sensitif atau ofensif,1,1,1,4
T4,Tone_Appropriateness,tone,AI memberikan respon yang suportif dan tidak menyalahkan,1,1,0,3
T5,Tone_Appropriateness,tone,AI menyesuaikan gaya bahasa dengan audiens internal Astra,0,0,0,0
RT1,Responsiveness,performance,Waktu respon AI tergolong cepat,1,1,0,5
RT2,Responsiveness,performance,Waktu respon AI stabil dan tidak sering mengalami keterlambatan,0,0,1,0
RT3,Responsiveness,usability,Pengguna dapat mengatur panjang atau detail jawaban AI,0,1,1,0
RT4,Responsiveness,usability,Pengguna dapat mengoreksi atau mengarahkan ulang jawaban AI dengan mudah,1,0,1,7
RT5,Responsiveness,usability,AI dapat menangani beberapa pertanyaan berurutan tanpa penurunan kualitas,1,1,1,2
